,Opponent,Result
1978-06-02,Mexico,Win
1978-06-06,Poland,Loss
1978-06-10,West Germany,Draw
1998-06-15,England,Loss
1998-06-22,Colombia,Loss
1998-06-26,Romania,Draw
2002-06-05,Russia,Loss
2002-06-10,Belgium,Draw
2006-06-19,Spain,Loss
2002-06-14,Japan,Loss
2006-06-14,Saudi Arabia,Draw
2006-06-23,Ukraine,Loss
