,Opponent,Result
1970-06-03,West Germany,Loss
1970-06-06,Peru,Loss
1970-06-11,Bulgaria,Draw
1986-06-02,Poland,Draw
1986-06-06,England,Draw
1986-06-11,Portugal,Win
1986-06-17,West Germany,Loss
1994-06-19,Belgium,Loss
1994-06-25,Saudi Arabia,Loss
1994-06-29,Netherlands,Loss
1998-06-10,Norway,Draw
1998-06-16,Brazil,Loss
1998-06-23,Scotland,Win
