,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,580,43950001,43950100,2002-05-31,2002,South Korea,Seoul,Seoul World Cup Stadium,62561.0,Groups,France,FRA,Senegal,SEN,0,1,0,0,0,1,Senegal,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
1,597,43950020,43950100,2002-06-06,2002,South Korea,Daegu,Daegu World Cup Stadium,43500.0,Groups,Denmark,DEN,Senegal,SEN,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
2,613,43950034,43950100,2002-06-11,2002,South Korea,Suwon,Suwon World Cup Stadium,33681.0,Groups,Senegal,SEN,Uruguay,URU,3,0,0,3,3,3,Draw,,,,,,,Groups,Groups,1.0,1.0
3,632,43950051,43950200,2002-06-16,2002,Japan,Ōita,Oita Stadium Big Eye,39747.0,Round of 16,Sweden,SWE,Senegal,SEN,0,0,1,2,1,2,Senegal,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
4,639,43950060,43950300,2002-06-22,2002,Japan,Osaka,Osaka Nagai Stadium,44233.0,Quarterfinals,Senegal,SEN,Turkey,TUR,0,0,0,1,0,1,Turkey,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0
