,Opponent,Result
1986-06-04,Scotland,Win
1986-06-08,Uruguay,Win
1986-06-13,West Germany,Win
1986-06-18,Spain,Loss
1998-06-12,Saudi Arabia,Win
1998-06-18,South Africa,Draw
1998-06-24,France,Loss
1998-06-28,Nigeria,Win
1998-07-03,Brazil,Loss
2002-06-01,Uruguay,Win
2002-06-06,Senegal,Draw
2002-06-11,France,Win
2002-06-15,England,Loss
2010-06-14,Netherlands,Loss
2010-06-19,Cameroon,Win
2010-06-24,Japan,Loss
