,Opponent,Result
2006-06-12,Italy,Loss
2006-06-17,Czech Republic,Win
2006-06-22,United States,Win
2006-06-27,Brazil,Loss
2010-06-13,Serbia,Win
2010-06-19,Australia,Loss
2010-06-23,Germany,Loss
2010-06-26,United States,Win
2010-07-02,Uruguay,Loss
2014-06-16,United States,Loss
2014-06-21,Germany,Loss
2014-06-26,Portugal,Loss
