,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Russia_result_value
6,6,788,300186499,255931,2014-06-17,2014,Brazil,Cuiabá,Arena Pantanal,37603.0,Groups,Russia,RUS,South Korea,KOR,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,3,594,43950015,43950100,2002-06-05,2002,Japan,Kobe,Kobe Wing Stadium,30957.0,Groups,Russia,RUS,Tunisia,TUN,0,0,2,0,2,0,Russia,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
0,0,473,3057,337,1994-06-20,1994,United States,Palo Alto,Stanford Stadium,81061.0,Groups,Brazil,BRA,Russia,RUS,1,0,1,0,2,0,Brazil,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
