,Opponent,Result
1994-06-20,Brazil,Loss
1994-06-24,Sweden,Loss
1994-06-28,Cameroon,Win
2002-06-05,Tunisia,Win
2002-06-09,Japan,Loss
2002-06-14,Belgium,Loss
2014-06-17,South Korea,Draw
2014-06-22,Belgium,Loss
2014-06-26,Algeria,Draw
