,Opponent,Result
1974-06-14,Australia,Win
1974-06-18,Chile,Draw
1974-06-22,West Germany,Win
1974-06-26,Brazil,Loss
1974-06-30,Netherlands,Loss
1974-07-03,Argentina,Draw
