,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,South Africa_result_value
6,708,300061454,249722,2010-06-11,2010,South Africa,Johannesburg,Soccer City Stadium,84490.0,Groups,South Africa,RSA,Mexico,MEX,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,585,43950006,43950100,2002-06-02,2002,South Korea,Busan,Busan Asiad Main Stadium,25186.0,Groups,Paraguay,PAR,South Africa,RSA,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
0,522,8730,1014,1998-06-12,1998,France,Marseille,Stade Vélodrome,55000.0,Groups,France,FRA,South Africa,RSA,1,0,2,0,3,0,France,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
