Opponent,Wins,Matches,Win %
France,1,2,50.00%
Denmark,0,1,0.00%
Mexico,0,1,0.00%
Paraguay,0,1,0.00%
Saudi Arabia,0,1,0.00%
Slovenia,1,1,100.00%
Spain,0,1,0.00%
Uruguay,0,1,0.00%
