,Opponent,Result
1998-06-12,France,Loss
1998-06-18,Denmark,Loss
1998-06-24,Saudi Arabia,Loss
2002-06-02,Paraguay,Loss
2002-06-08,Slovenia,Win
2002-06-12,Spain,Loss
2010-06-11,Mexico,Loss
2010-06-16,Uruguay,Loss
2010-06-22,France,Win
