,Opponent,Result
1938-06-05,Italy,Loss
1994-06-19,Mexico,Win
1994-06-23,Italy,Loss
1994-06-28,Republic of Ireland,Draw
1998-06-10,Morocco,Draw
1998-06-16,Scotland,Draw
1998-06-23,Brazil,Win
1998-06-27,Italy,Loss
