,Opponent,Result
1978-06-03,Netherlands,Loss
1978-06-07,Scotland,Draw
1978-06-11,Peru,Loss
1998-06-14,Yugoslavia,Loss
1998-06-21,United States,Win
1998-06-25,Germany,Loss
2006-06-11,Mexico,Loss
2006-06-17,Portugal,Loss
2006-06-21,Angola,Draw
2014-06-16,Nigeria,Draw
2014-06-21,Argentina,Loss
2014-06-25,Bosnia and Herzegovina,Loss
