,Opponent,Result
1990-06-11,England,Draw
1990-06-17,Egypt,Draw
1990-06-21,Netherlands,Draw
1990-06-25,Romania,Win
1990-06-30,Italy,Loss
1994-06-18,Italy,Win
1994-06-24,Mexico,Loss
1994-06-28,Norway,Draw
1994-07-04,Netherlands,Loss
2002-06-01,Cameroon,Draw
2002-06-05,Germany,Draw
2002-06-11,Saudi Arabia,Win
2002-06-16,Spain,Loss
