,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Brazil_result_value
97,97,772,300186456,255931,2014-06-12,2014,Brazil,São Paulo,Arena de Sao Paulo,62103.0,Groups,Brazil,BRA,Croatia,CRO,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
98,98,787,300186509,255931,2014-06-17,2014,Brazil,Fortaleza,Estadio Castelao,60342.0,Groups,Brazil,BRA,Mexico,MEX,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
99,99,806,300186472,255931,2014-06-23,2014,Brazil,Brasília,Estadio Nacional,69112.0,Groups,Cameroon,CMR,Brazil,BRA,1,2,0,2,1,4,Brazil,2.0,1.0,2.0,0.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
100,100,820,300186487,255951,2014-06-28,2014,Brazil,Belo Horizonte,Estadio Mineirao,57714.0,Round of 16,Brazil,BRA,Chile,CHI,0,0,1,1,1,1,Brazil,0.0,0.0,1.0,1.0,1.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
101,101,824,300186461,255953,2014-07-04,2014,Brazil,Fortaleza,Estadio Castelao,60342.0,Quarterfinals,Brazil,BRA,Colombia,COL,1,0,1,1,2,1,Brazil,1.0,0.0,1.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
102,102,826,300186474,255955,2014-07-08,2014,Brazil,Belo Horizonte,Estadio Mineirao,58141.0,Semifinals,Brazil,BRA,Germany,GER,0,5,1,2,1,7,Germany,5.0,0.0,2.0,1.0,7.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
103,103,827,300186502,255957,2014-07-12,2014,Brazil,Brasília,Estadio Nacional,68034.0,Third place,Brazil,BRA,Netherlands,NED,0,2,0,1,0,3,Netherlands,2.0,0.0,1.0,0.0,3.0,0.0,Third place,Third place,5.0,5.0,5.0
104,104,836,300186487,255951,2014-06-28,2014,Brazil,Belo Horizonte,Estadio Mineirao,57714.0,Round of 16,Brazil,BRA,Chile,CHI,0,0,1,1,1,1,Brazil,0.0,0.0,1.0,1.0,1.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
105,105,845,300186461,255953,2014-07-04,2014,Brazil,Fortaleza,Estadio Castelao,60342.0,Quarterfinals,Brazil,BRA,Colombia,COL,1,0,1,1,2,1,Brazil,1.0,0.0,1.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
106,106,848,300186474,255955,2014-07-08,2014,Brazil,Belo Horizonte,Estadio Mineirao,58141.0,Semifinals,Brazil,BRA,Germany,GER,0,5,1,2,1,7,Germany,5.0,0.0,2.0,1.0,7.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
107,107,850,300186502,255957,2014-07-12,2014,Brazil,Brasília,Estadio Nacional,68034.0,Third place,Brazil,BRA,Netherlands,NED,0,2,0,1,0,3,Netherlands,2.0,0.0,1.0,0.0,3.0,0.0,Third place,Third place,5.0,5.0,5.0
