,Opponent,Result
1982-06-24,Chile,Win
1982-06-16,West Germany,Win
1982-06-21,Austria,Loss
1986-06-03,Northern Ireland,Draw
1986-06-06,Brazil,Loss
1986-06-12,Spain,Loss
2010-06-13,Slovenia,Loss
2010-06-18,England,Draw
2010-06-23,United States,Loss
2014-06-17,Belgium,Loss
2014-06-22,South Korea,Win
2014-06-26,Russia,Draw
2014-06-30,Germany,Loss
2014-06-30,Germany,Loss
