,Opponent,Result
1974-06-14,East Germany,Loss
1974-06-18,West Germany,Loss
1974-06-22,Chile,Loss
2006-06-12,Japan,Win
2006-06-18,Brazil,Loss
2006-06-22,Croatia,Loss
2006-06-26,Italy,Loss
2010-06-13,Germany,Loss
2010-06-19,Ghana,Loss
2010-06-23,Serbia,Win
2014-06-13,Chile,Loss
2014-06-18,Netherlands,Loss
2014-06-23,Spain,Loss
