,Opponent,Result
1990-06-11,Scotland,Win
1990-06-16,Brazil,Loss
1990-06-20,Sweden,Win
1990-06-23,Czechoslovakia,Loss
2002-06-04,China PR,Win
2002-06-09,Turkey,Loss
2002-06-13,Brazil,Loss
2006-06-09,Germany,Loss
2006-06-15,Ecuador,Loss
2006-06-20,Poland,Loss
2014-06-14,Uruguay,Win
2014-06-20,Italy,Win
2014-06-24,England,Loss
2014-07-05,Netherlands,Loss
2014-06-29,Greece,Win
2014-06-29,Greece,Win
2014-07-05,Netherlands,Loss
