,Opponent,Result
1994-06-20,Netherlands,Loss
1994-06-25,Morocco,Win
1994-06-29,Belgium,Win
1994-07-03,Sweden,Loss
1998-06-12,Denmark,Loss
1998-06-18,France,Loss
1998-06-24,South Africa,Loss
2002-06-01,Germany,Loss
2002-06-06,Cameroon,Loss
2002-06-11,Republic of Ireland,Loss
2006-06-14,Tunisia,Loss
2006-06-19,Ukraine,Loss
2006-06-23,Spain,Loss
