,Opponent,Result
1954-06-17,West Germany,Loss
1954-06-20,South Korea,Win
1954-06-23,West Germany,Loss
2002-06-03,Brazil,Loss
2002-06-09,Costa Rica,Loss
2002-06-13,China PR,Win
2002-06-18,Japan,Win
2002-06-22,Senegal,Win
2002-06-26,Brazil,Loss
2002-06-29,South Korea,Win
