,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Poland_result_value
28,28,646,97410002,97410100,2006-06-09,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,Poland,POL,Ecuador,ECU,0,1,0,1,0,2,Ecuador,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
25,25,593,43950014,43950100,2002-06-04,2002,South Korea,Busan,Busan Asiad Main Stadium,48760.0,Groups,South Korea,KOR,Poland,POL,1,0,1,0,2,0,South Korea,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
24,24,399,444,309,1986-06-16,1986,Mexico,Guadalajara,Jalisco,45000.0,Round of 16,Brazil,BRA,Poland,POL,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
20,20,358,921,676,1982-07-10,1982,Spain,Alicante,Jose Rico Perez,28000.0,Third place,Poland,POL,France,FRA,2,1,1,1,3,2,Poland,2.0,1.0,1.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
11,11,298,2202,279,1978-06-14,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,37091.0,Round of 16,Argentina,ARG,Poland,POL,1,0,1,0,2,0,Argentina,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,7,268,1984,264,1974-07-06,1974,Germany,Munich,Olympiastadion,77100.0,Third place,Brazil,BRA,Poland,POL,0,0,0,1,0,1,Poland,0.0,0.0,1.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
0,0,40,1150,206,1938-06-05,1938,France,Strasbourg,Stade de la Meinau,13452.0,Groups,Brazil,BRA,Poland,POL,0,0,6,5,6,5,Brazil,0.0,0.0,6.0,5.0,6.0,5.0,Groups,Groups,1.0,1.0,1.0
