,Opponent,Result
1982-06-16,Spain,Loss
1982-06-21,Northern Ireland,Loss
1982-06-24,Yugoslavia,Loss
2010-06-16,Chile,Loss
2010-06-21,Spain,Loss
2010-06-25,Switzerland,Loss
2014-06-15,France,Loss
2014-06-20,Ecuador,Loss
2014-06-25,Switzerland,Loss
