,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Egypt_result_value
1,422,151,322,1990-06-12,1990,Italy,Palermo,Della Favorita,33288.0,Groups,Netherlands,NED,Egypt,EGY,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
0,19,1119,204,1934-05-27,1934,Italy,Naples,Giorgio Ascarelli,9000.0,Groups,Hungary,HUN,Egypt,EGY,2,2,2,0,4,2,Hungary,2.0,2.0,2.0,0.0,4.0,2.0,Groups,Groups,1.0,1.0,1.0
