,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,656,97410014,97410100,2006-06-13,2006,Germany,Frankfurt am Main,"FIFA World Cup Stadium, Frankfurt",48000.0,Groups,South Korea,KOR,Togo,TOG,0,1,2,0,2,1,South Korea,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
1,674,97410030,97410100,2006-06-19,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",65000.0,Groups,Togo,TOG,Switzerland,SUI,0,1,0,1,0,2,Switzerland,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
2,690,97410045,97410100,2006-06-23,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Groups,Togo,TOG,France,FRA,0,0,0,2,0,2,France,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
