,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Serbia_result_value
0,0,650,97410006,97410100,2006-06-11,2006,Germany,Leipzig,Zentralstadion,43000.0,Groups,Serbia,SCG,Netherlands,NED,0,1,0,0,0,1,Netherlands,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,665,97410021,97410100,2006-06-16,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,Argentina,ARG,Serbia,SCG,3,0,3,0,6,0,Argentina,3.0,0.0,3.0,0.0,6.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,683,97410038,97410100,2006-06-21,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Groups,Cote d'Ivoire,CIV,Serbia,SCG,1,2,2,0,3,2,Cote d'Ivoire,1.0,2.0,2.0,0.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
3,3,714,300061471,249722,2010-06-13,2010,South Africa,Pretoria,Loftus Versfeld Stadium,38833.0,Groups,Serbia,SRB,Ghana,GHA,0,0,0,1,0,1,Ghana,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
4,4,728,300061470,249722,2010-06-18,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,38294.0,Groups,Germany,GER,Serbia,SRB,0,1,0,0,0,1,Serbia,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,747,300061467,249722,2010-06-23,2010,South Africa,Nelspruit,Mbombela Stadium,37836.0,Groups,Australia,AUS,Serbia,SRB,0,0,2,1,2,1,Australia,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
