,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Serbia_result_value
3,3,714,300061471,249722,2010-06-13,2010,South Africa,Pretoria,Loftus Versfeld Stadium,38833.0,Groups,Serbia,SRB,Ghana,GHA,0,0,0,1,0,1,Ghana,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
0,0,650,97410006,97410100,2006-06-11,2006,Germany,Leipzig,Zentralstadion,43000.0,Groups,Serbia,SCG,Netherlands,NED,0,1,0,0,0,1,Netherlands,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
