,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Bulgaria_result_value
23,23,520,8728,1014,1998-06-12,1998,France,Montpellier,La Mosson,29800.0,Groups,Paraguay,PAR,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
22,22,514,3103,3460,1994-07-16,1994,United States,Pasadena,Rose Bowl,91500.0,Third place,Sweden,SWE,Bulgaria,BUL,4,0,0,0,4,0,Sweden,4.0,0.0,0.0,0.0,4.0,0.0,Third place,Third place,5.0,5.0,5.0
15,15,397,463,309,1986-06-15,1986,Mexico,Mexico City,Estadio Azteca,114580.0,Round of 16,Mexico,MEX,Bulgaria,BUL,1,0,1,0,2,0,Mexico,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
9,9,237,1995,262,1974-06-15,1974,Germany,Düsseldorf,Rheinstadion,23800.0,Groups,Sweden,SWE,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
6,6,202,1780,250,1970-06-02,1970,Mexico,León,Nou Camp - Estadio León,13765.0,Groups,Peru,PER,Bulgaria,BUL,0,1,3,1,3,2,Peru,0.0,1.0,3.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
3,3,170,1596,238,1966-07-12,1966,England,Liverpool,Goodison Park,47308.0,Groups,Brazil,BRA,Bulgaria,BUL,1,0,1,0,2,0,Brazil,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
0,0,138,1447,231,1962-05-30,1962,Chile,Rancagua,Estadio El Teniente-Codelco,7134.0,Groups,Argentina,ARG,Bulgaria,BUL,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
