,Opponent,Result
2006-06-10,Argentina,Loss
2006-06-16,Netherlands,Loss
2006-06-21,Serbia,Win
2010-06-15,Portugal,Draw
2010-06-20,Brazil,Loss
2010-06-25,North Korea,Win
2014-06-14,Japan,Win
2014-06-19,Colombia,Loss
2014-06-24,Greece,Loss
