,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Cote d'Ivoire_result_value
6,779,300186507,255931,2014-06-14,2014,Brazil,Recife,Arena Pernambuco,40267.0,Groups,Cote d'Ivoire,CIV,Japan,JPN,0,1,2,0,2,1,Cote d'Ivoire,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
3,720,300061489,249722,2010-06-15,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,37034.0,Groups,Cote d'Ivoire,CIV,Portugal,POR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
0,649,97410005,97410100,2006-06-10,2006,Germany,Hamburg,"FIFA World Cup Stadium, Hamburg",49480.0,Groups,Argentina,ARG,Cote d'Ivoire,CIV,2,0,0,1,2,1,Argentina,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
