,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Germany_result_value
43,828,300186501,255959,2014-07-13,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74738.0,Finals,Germany,GER,Argentina,ARG,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
36,770,300061510,249720,2010-07-10,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,36254.0,Third place,Uruguay,URU,Germany,GER,1,1,1,2,2,3,Germany,1.0,1.0,2.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
29,706,97410063,97410500,2006-07-08,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Third place,Germany,GER,Portugal,POR,0,0,3,1,3,1,Germany,0.0,0.0,3.0,1.0,3.0,1.0,Third place,Third place,5.0,5.0,5.0
22,644,43950064,43950600,2002-06-30,2002,Japan,Yokohama,International Stadium Yokohama,69029.0,Finals,Germany,GER,Brazil,BRA,0,0,0,2,0,2,Brazil,0.0,0.0,2.0,0.0,2.0,0.0,Finals,Champion,6.0,7.0,6.0
15,575,8783,1025,1998-07-04,1998,France,Lyon,Stade de Gerland,39100.0,Quarterfinals,Germany,GER,Croatia,CRO,0,1,0,2,0,3,Croatia,1.0,0.0,2.0,0.0,3.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
10,510,3096,796,1994-07-10,1994,United States,East Rutherford,Giants Stadium,72000.0,Quarterfinals,Bulgaria,BUL,Germany,GER,0,0,2,1,2,1,Bulgaria,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
4,35,1165,206,1938-06-04,1938,France,Paris,Parc des Princes,27152.0,Groups,Switzerland,SUI,Germany,GER,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,33,1105,3491,1934-06-07,1934,Italy,Naples,Giorgio Ascarelli,7000.0,Third place,Germany,GER,Austria,AUT,3,1,0,1,3,2,Germany,3.0,1.0,0.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
