,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,England_result_value
24,24,316,878,293,1982-06-16,1982,Spain,Bilbao,San Mames,44172.0,Groups,England,ENG,France,FRA,1,1,2,0,3,1,England,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
25,25,328,889,293,1982-06-20,1982,Spain,Bilbao,San Mames,41123.0,Groups,England,ENG,Czechoslovakia,TCH,0,0,2,0,2,0,England,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
26,26,342,882,293,1982-06-25,1982,Spain,Bilbao,San Mames,39700.0,Groups,England,ENG,Kuwait,KUW,1,0,0,0,1,0,England,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
27,27,347,879,294,1982-06-29,1982,Spain,Madrid,Santiago Bernabeu,75000.0,Round of 16,West Germany,FRG,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
28,28,355,877,294,1982-07-05,1982,Spain,Madrid,Santiago Bernabeu,75000.0,Round of 16,Spain,ESP,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
29,29,368,538,308,1986-06-03,1986,Mexico,Monterrey,Tecnologico,23000.0,Groups,Portugal,POR,England,ENG,0,0,1,0,1,0,Portugal,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
30,30,377,533,308,1986-06-06,1986,Mexico,Monterrey,Tecnologico,20200.0,Groups,England,ENG,Morocco,MAR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
31,31,391,537,308,1986-06-11,1986,Mexico,Monterrey,Tecnologico,22700.0,Groups,England,ENG,Poland,POL,3,0,0,0,3,0,England,3.0,0.0,0.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
32,32,402,536,309,1986-06-18,1986,Mexico,Mexico City,Estadio Azteca,98728.0,Round of 16,England,ENG,Paraguay,PAR,1,0,2,0,3,0,England,1.0,0.0,2.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
33,33,407,392,714,1986-06-22,1986,Mexico,Mexico City,Estadio Azteca,114580.0,Quarterfinals,Argentina,ARG,England,ENG,0,0,2,1,2,1,Argentina,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
34,34,420,161,322,1990-06-11,1990,Italy,Cagliari,Sant Elia,35238.0,Groups,England,ENG,Republic of Ireland,IRL,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
35,35,432,160,322,1990-06-16,1990,Italy,Cagliari,Sant Elia,35267.0,Groups,England,ENG,Netherlands,NED,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
36,36,447,150,322,1990-06-21,1990,Italy,Cagliari,Sant Elia,34959.0,Groups,England,ENG,Egypt,EGY,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
37,37,455,55,323,1990-06-26,1990,Italy,Bologna,Renato Dall Ara,34520.0,Round of 16,England,ENG,Belgium,BEL,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
38,38,459,103,751,1990-07-01,1990,Italy,Naples,San Paolo,55205.0,Quarterfinals,England,ENG,Cameroon,CMR,0,0,3,2,3,2,England,0.0,0.0,3.0,2.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
39,39,461,159,3464,1990-07-04,1990,Italy,Turin,Stadio delle Alpi,62628.0,Semifinals,West Germany,FRG,England,ENG,0,0,1,1,1,1,West Germany,0.0,0.0,1.0,1.0,1.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
40,40,462,162,3463,1990-07-07,1990,Italy,Bari,Stadio San Nicola,51426.0,Third place,Italy,ITA,England,ENG,0,0,2,1,2,1,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Third place,Third place,5.0,5.0,5.0
41,41,529,8740,1014,1998-06-15,1998,France,Marseille,Stade Vélodrome,55000.0,Groups,England,ENG,Tunisia,TUN,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
42,42,547,8756,1014,1998-06-22,1998,France,Toulouse,Stade Municipal,33500.0,Groups,Romania,ROU,England,ENG,0,0,2,1,2,1,Romania,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
